お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
QuarterRoundInv,Block Building - Shape,Inward Round Slope,ラウンド・スロープ(Inward ),
QuarterRoundInvDestroyed,Block Building - Shape,Inward Round Slope - Destroyed,ラウンド・スロープ(Inward )（破損）,
QuarterRoundThin,Block Building - Shape,Round Slope Thin,薄型ラウンド・スロープ,
QuarterRoundThinDestroyed,Block Building - Shape,Round Slope Thin - Destroyed,薄型ラウンド・スロープ（破損）,
RampBottom,Block Building - Shape,Ramp Bottom,ランプ下部,
RampBottomA,Block Building - Shape,Ramp Bottom A,ランプ下部A,
RampBottomADestroyed,Block Building - Shape,Ramp Bottom A - Destroyed,ランプ下部A（破損）,
RampBottomB,Block Building - Shape,Ramp Bottom B,ランプ下部B,
RampBottomBDestroyed,Block Building - Shape,Ramp Bottom B - Destroyed,ランプ下部B（破損）,
RampBottomC,Block Building - Shape,Ramp Bottom C,ランプ下部C,
RampBottomCDestroyed,Block Building - Shape,Ramp Bottom C - Destroyed,ランプ下部C（破損）,
RampBottomDestroyed,Block Building - Shape,Ramp Bottom - Destroyed,ランプ下部（破損）,
RampTop,Block Building - Shape,Ramp Top,ランプ上部,
RampTopDestroyed,Block Building - Shape,Ramp Top - Destroyed,ランプ上部（破損）,
RampTopDouble,Block Building - Shape,Ramp Top Double,ダブルランプ上部,
RampTopDoubleDestroyed,Block Building - Shape,Ramp Top Double - Destroyed,ダブルランプ上部（破損）,
RampWedgeBottom,Block Building - Shape,Ramp Wedge Bottom,ランプウェッジ下部,
RampWedgeBottomDestroyed,Block Building - Shape,Ramp Wedge Bottom - Destroyed,ランプウェッジ下部（破損）,
RampWedgeTop,Block Building - Shape,Ramp Wedge Top,ランプウェッジ上部,
RampWedgeTopDestroyed,Block Building - Shape,Ramp Wedge Top - Destroyed,ランプウェッジ上部（破損）,
Round4WayConnector,Block Building - Shape,Round 4 Way Connector,ラウンド4ウェイコネクタ,
Round4WayConnectorDestroyed,Block Building - Shape,Round 4 Way Connector - Destroyed,ラウンド4ウェイコネクタ（破損）,
RoundSlopeEdge,Block Building - Shape,Round Slope Edge,ラウンドスロープエッジ,
RoundSlopeEdgeDestroyed,Block Building - Shape,Round Slope Edge - Destroyed,ラウンドスロープエッジ（破損）,
RoundSlopeEdgeInward,Block Building - Shape,Round Slope Edge Inward,ラウンドスロープエッジ(Inward ),
RoundSlopeEdgeInwardDestroyed,Block Building - Shape,Round Slope Edge Inward - Destroyed,ラウンドスロープエッジ(Inward )（破損）,
RoundSlopeEdgeThin,Block Building - Shape,Round Slope Edge Thin,薄型ラウンドスロープエッジ,
RoundSlopeEdgeThinDestroyed,Block Building - Shape,Round Slope Edge Thin - Destroyed,薄型ラウンドスロープエッジ（破損）,
SlopeHalf,Block Building - Shape,Slope Half,スロープ・ハーフ,
SlopeHalfDestroyed,Block Building - Shape,Slope Half - Destroyed,スロープ・ハーフ（破損）,
Wall,Block Building - Shape,Wall,ウォール,
Wall3Corner,Block Building - Shape,Wall 3 Corner,コーナウォール3,
Wall3CornerDestroyed,Block Building - Shape,Wall 3 Corner - Destroyed,コーナーウォール3（破損）,
WallCorner,Block Building - Shape,Wall L-shape,L型ウォール,
WallCornerDestroyed,Block Building - Shape,Wall L-shape - Destroyed,L型ウォール（破損）,
WallDestroyed,Block Building - Shape,Wall - Destroyed,ウォール（破損）,
WallHalf,Block Building - Shape,Wall Half,ハーフ・ウォール,
WallHalfDestroyed,Block Building - Shape,Wall Half - Destroyed,ウォール・ハーフ（破損）,
WallSloped,Block Building - Shape,Sloped Wall,スロープ・ウォール,
WallSlopedBottom,Block Building - Shape,Sloped Wall Bottom (right),スロープ・ウォール(底部右),
WallSlopedBottom2,Block Building - Shape,Sloped Wall Bottom (left),スロープ・ウォール(底部左),
WallSlopedBottom2Destroyed,Block Building - Shape,Sloped Wall Bottom (left) - Destroyed,スロープ・ウォール(底部左)（破損）,
WallSlopedBottomDestroyed,Block Building - Shape,Sloped Wall Bottom (right) - Destroyed,スロープ・ウォール(底部右)（破損）,
WallSlopedDestroyed,Block Building - Shape,Sloped Wall - Destroyed,スロープ・ウォール,
WallSlopedTop,Block Building - Shape,Sloped Wall Top (right),スロープ・ウォール(上部右),
WallSlopedTop2,Block Building - Shape,Sloped Wall Top (left),スロープ・ウォール(上部左),
WallSlopedTop2Destroyed,Block Building - Shape,Sloped Wall Top (left) - Destroyed,スロープ・ウォール(上部左)（破損）,
WallSlopedTopDestroyed,Block Building - Shape,Sloped Wall Top (right) - Destroyed,スロープ・ウォール(上部右)（破損）,
Wedge,Block Building - Shape,Slope,スロープ,
WedgeDestroyed,Block Building - Shape,Slope - Destroyed,スロープ（破損）,
WedgeThin,Block Building - Shape,Thin Slope,薄型スロープ,
WedgeThinDestroyed,Block Building - Shape,Thin Slope - Destroyed,薄型スロープ（破損）,
AkuaFernDeco,Block Deco,Fern,シダ,
AlienPalmTreeDeco,Block Deco,Fire Palm Tree,ファイアーパーム,
AlienTentacleDeco,Block Deco,Tentacle Tree,テンタクル・ツリー,
Antenna,Block Deco,Antenna 06 (Deco),アンテナ06 (Deco),
Antenna01,Block Deco,Antenna 01 (Deco),アンテナ01 (Deco),
Antenna02,Block Deco,Antenna 02 (Deco),アンテナ02 (Deco),
Antenna03,Block Deco,Antenna 03 (Deco),アンテナ03 (Deco),
Antenna04,Block Deco,Antenna 04 (Deco),アンテナ04 (Deco),
Antenna05,Block Deco,Antenna 05 (Deco),アンテナ05 (Deco),
AntennaBlocks,Block Deco,Antennas (Deco),アンテナ (Deco),
ArmorPlate,Block Deco,Armor Plate,装甲板,
BallFlower01Deco,Block Deco,Ball Flower,ボール・フラワー,
BallTreeDeco,Block Deco,Ball Tree,ボール・ツリー,
BathroomCounter,Block Deco,Bathroom Vanity,バスルーム,
Bed,Block Deco,Bed 2,ベッド２,
Bookshelf,Block Deco,Bookshelf,本棚,
BunkBed,Block Deco,Bunk Bed,二段ベッド,
CapacitorMS,Block Deco,Capacitor (Deco),コンデンサ(Deco),
CapacitorSS,Block Deco,Capacitor SV (Deco),コンデンサSV(Deco),
Console4,Block Deco,Scanner 4,スキャナー4,
ConsoleLargeMS01,Block Deco,Console (Deco),コンソール(Deco),
ConsoleLargeMS01a,Block Deco,Console (Deco),コンソール(Deco),
ConsoleLargeMS02,Block Deco,Console (Deco),コンソール(Deco),
ConsoleMapMS01,Block Deco,Console (Deco),コンソール(Deco),
ConsoleMS01,Block Deco,Console (Deco),コンソール(Deco),
ConsoleSmallMS01,Block Deco,Console (Deco),コンソール(Deco),
ConsoleSmalNPC,Block Deco,Console NPC,コンソール (NPC),
ControlStation,Block Deco,Control Station,コントロール・ステーション,
ControlStationNPC,Block Deco,Control Station NPC,コントロール・ステーション(NPC),
DecoBlocks,Block Deco,Furnishings (Deco),家具(Deco),
DecoBlocks2,Block Deco,Tech Equipment (Deco),技術機器(Deco),
ElderberryBushBlueDeco,Block Deco,Blue Bush,青い草,
ElderberryBushDeco,Block Deco,Green Bush 02,緑の草,
FantasyPlant1Deco,Block Deco,Lava Plant,溶岩惑星,
Freezer,Block Deco,Box Large 3,ラージ・ボックス3,
GlowTube01Deco,Block Deco,Glow Tube Flower,グロウ・チューブフラワー,
HollywoodJuniperDeco,Block Deco,Green Bush 01,緑の草,
HoloScreen01,Block Deco,Holographic Screen 01,ホログラフィック・スクリーン01,
HoloScreen02,Block Deco,Holographic Screen 02,ホログラフィック・スクリーン02,
HoloScreen03,Block Deco,Holographic Screen 03,ホログラフィック・スクリーン03,
HoloScreen04,Block Deco,Holographic Screen 04,ホログラフィック・スクリーン04,
HoloScreen05,Block Deco,Holographic Screen 05,ホログラフィック・スクリーン05,
IndoorPlant01,Block Deco,Artificial Indoor Plant 1,観葉植物１,
IndoorPlant02,Block Deco,Artificial Indoor Plant 2,観葉植物２,
IndoorPlant03,Block Deco,Artificial Indoor Plant 3,観葉植物３,
IndoorPlants,Block Deco,Artificial Plants (Deco),観葉植物 (Deco),
InteriorBath,Block Deco,Interior Bathroom,インテリア・バスルーム,
InteriorKitchen,Block Deco,Interior Kitchen,インテリア・キッチン,
InteriorKitchen02,Block Deco,Interior Kitchen 2,インテリア・キッチン2,
InteriorLiving,Block Deco,Interior Livingroom,インテリア・リビング,
InteriorLiving02,Block Deco,Interior Livingroom 2,インテリア・リビング２,
KitchenCounter,Block Deco,Kitchen Counter,キッチン,
KitchenTable,Block Deco,Dining Table Bench,ダイニングテーブル,
LabTable1,Block Deco,Lab Table 1,ラボ・テーブル１,
LabTable2,Block Deco,Lab Table 2,ラボ・テーブル２,
LabTable3,Block Deco,Lab Table 3,ラボ・テーブル３,
Level4Prop2,Block Deco,Repository 1,倉庫1,
Level4Prop3,Block Deco,Repository 2,倉庫2,
Level5FreezerOpened,Block Deco,Cryo Chamber,チャンバー,
LockerWShelves,Block Deco,Locker,ロッカー,
OnionFlowerDeco,Block Deco,Mega Onion Flower,メガ・オニオン・フラワー,
OperationTableWDrawers,Block Deco,Operating Table,オペレーション・デスク,
Props6BoxLarge1,Block Deco,Box Large 1,ラージ・ボックス1,
Props6BoxLarge2,Block Deco,Box Large 2,ラージ・ボックス2,
Props6BoxMedium1,Block Deco,Box Medium,ミディア・ボックス,
ReceptionTable,Block Deco,Reception Table,レセプションテーブル,
ReceptionTableCorner,Block Deco,Reception Table Corner,レセプション・コーナーテーブル,
ReceptionTableCornerThin,Block Deco,Reception Table Corner - Thin,薄型レセプション・コーナーテーブル,
ReceptionTableNPC,Block Deco,Reception Table NPC,レセプションテーブルNPC,
ReceptionTableThin,Block Deco,Reception Table - Thin,薄型レセプションテーブル,
Scanner2,Block Deco,Scanner 2,スキャナ－２,
Scanner3,Block Deco,Scanner 3,スキャナー３,
ScannerBase1,Block Deco,Scanner 1,スキャナー１,
SciencelabMS,Block Deco,Science Lab (Deco),研究室(Deco),
ScifiBed,Block Deco,Bed,ベッド,
ScifiChair,Block Deco,Chair,椅子,
ScifiComputerTable,Block Deco,Computer Table,コンピュータテーブル,
ScifiContainer1,Block Deco,Cargo Box 1,カーゴボックス1,
ScifiContainer2,Block Deco,Cargo Box 2,カーゴボックス2,
ScifiContainerEnergy,Block Deco,Power Storage (Deco),パワーストレージ (Deco),
ScifiContainerPower,Block Deco,Cargo Box 3,カーゴボックス3,
ScifiLargeSofa,Block Deco,Bench,ベンチ,
ScifiLargeSofaNPC,Block Deco,Bench 2 NPC,ベンチ2 NPC,
ScifiMediaCenter,Block Deco,Media Center,メディアセンター,
ScifiNightstand,Block Deco,Small Table,ナイトスタンド,
ScifiPlant,Block Deco,Artificial Indoor Plant 4,観葉植物4,
ScifiShower,Block Deco,Shower 2,シャワー2,
ScifiSofa,Block Deco,Bench 2,ベンチ2,
ScifiSofaNPC,Block Deco,Bench NPC,ベンチNPC,
ScifiStorage,Block Deco,Closet,クローゼット,
ScifiTable,Block Deco,Table,テーブル,
ScifiTableNPC,Block Deco,Table 1 NPC,テーブル 1 NPC,
ScifiTableNPC2,Block Deco,Table 2 NPC,テーブル 2 NPC,
ScifiTableNPC3,Block Deco,Table 3 NPC,テーブル 3 NPC,
ScifiTableV2,Block Deco,Table 2,テーブル 2,
ScifiTableV2NPC,Block Deco,Table 2 NPC,テーブル 2 NPC,
Shower,Block Deco,Shower,シャワー,
SmallTable,Block Deco,Small Table,スモール・テーブル,
Sofa,Block Deco,Sofa,ソファー,
SofaNPC,Block Deco,Sofa NPC,ソファーNPC,
SolarBlock,Block Deco,Solar Panel Slope,ソーラパネル・スロープ,
SolarPanel,Block Deco,Solar Panel Plate,ソーラパネル・プレート,
StandingNPC,Block Deco,Standing NPC,NPC,
StandingNPC2,Block Deco,Standing NPC 2,NPC 2,
TableTV,Block Deco,TV Table,モニターテーブル,
Tank1,Block Deco,Tank1,タンク１,
Tank2,Block Deco,Tank2,タンク２,
Toilet,Block Deco,Toilet,トイレ,
TurretRadar,Block Deco,Radar (Deco),レーダー(Deco),
Air,Block Device,Container,コンテナ,
AlienContainer,Block Device,Alien Container,エイリアン・コンテナ,
AlienContainerRare,Block Device,Alien Container (Rare),エイリアン・コンテナ (Rare),
AlienContainerUltraRare,Block Device,Alien Container (Ultra Rare),エイリアン・コンテナ (Ultra Rare),
AlienContainerVeryRare,Block Device,Alien Container (Very Rare),エイリアン・コンテナ (Very Rare),
AlienDeviceBlocks,Block Device,Alien Blocks,エイリアンブロック,
ArmorLocker,Block Device,Armor Locker,アーマーロッカー,
ArmorLockerSV,Block Device,"Armor Locker (SV, HV)","アーマーロッカー(SV,HV)",
ATM,Block Device,ATM,ATM,
AutoMinerCore,Block Device,Auto Miner Core,自動掘削装置(コア),
AutoMiningDeviceT1,Block Device,Auto Mining Device (T1),自動掘削装置(T1),
AutoMiningDeviceT2,Block Device,Auto Mining Device (T2),自動掘削装置(T2),
AutoMiningDeviceT3,Block Device,Auto Mining Device (T3),自動掘削装置(T3),
Backpack,Block Device,Backpack,バックパック,
CloneChamber,Block Device,Clone Chamber,クローン・チャンバー,
CockpitBlocksCV,Block Device,Cockpit Blocks CV,コックピットCV,
CockpitBlocksSV,Block Device,Cockpit Blocks,コックピット,
CockpitMS01,Block Device,Cockpit 1,コックピット,
CockpitMS02,Block Device,Cockpit 2,コックピット2,
CockpitMS03,Block Device,Cockpit 3,コックピット3,
CockpitOpen2SV,Block Device,Cockpit 2 (open),コックピット2(open),
CockpitOpenSV,Block Device,Cockpit 1 (open),コックピット1(open),
CockpitSV,Block Device,Cockpit (obsolete),コックピット6 (obsolete),
CockpitSV_fighter,Block Device,Cockpit (obsolete),コックピット8 (obsolete),
CockpitSV_fighter_Noscale,Block Device,Cockpit (obsolete),コックピット7 (obsolete),
CockpitSV_ShortRange,Block Device,Cockpit 2,コックピット5,
CockpitSV01,Block Device,Cockpit 1,コックピット9,
CockpitSV02,Block Device,Cockpit 3 (Legacy),コックピット1(Legacy),
CockpitSV02New,Block Device,Cockpit 3,コックピット3,
CockpitSV03,Block Device,Cockpit 7 (Legacy),コックピット2(Legacy),
CockpitSV04,Block Device,Cockpit 4,コックピット4,
CockpitSV05,Block Device,Cockpit 5 (Legacy),コックピット3(Legacy),
CockpitSV05New,Block Device,Cockpit 5,コックピット5,
CockpitSV06,Block Device,Cockpit 6,コックピット6,
CockpitSV07,Block Device,Cockpit 6 (Legacy),コックピット4(Legacy),
CockpitSV07New,Block Device,Cockpit 7,コックピット7,
ConsoleBlocks,Block Device,Consoles (Deco),コンソール (Deco),
ConstructorMS,Block Device,Large Constructor (old - please replace),ラージ・コンストラクタ(MS),
ConstructorRecursive,Block Device,Advanced Constructor (old - please replace),アドバンス・コンストラクタ,
ConstructorSV,Block Device,Mobile Constructor,スモール・コンストラクタ(V2),
ConstructorSurvival,Block Device,Survival Constructor,簡易コンストラクタ,
ConstructorSurvivalV2,Block Device,Survival Constructor,簡易コンストラクタ(V2),
ConstructorSV_Old,Block Device,Mobile Constructor (old - please replace),スモール・コンストラクタ(SV),
ConstructorT1,Block Device,Large Constructor (old - please replace),ラージ・コンストラクタ(T1),
